CountryID,Year,pH Level,Turbidity,Dissolved Oxygen,Nitrate Level,Lead Concentration,bacterial_count 
1,2015,7.12,3.93,4.28,8.28,7.89,3344
2,2017,7.84,4.79,3.86,15.74,14.68,2122
3,2022,6.43,0.79,3.42,36.67,9.96,2330
4,2016,6.71,1.96,3.12,36.92,6.77,3779
1,2005,8.16,4.22,9.15,49.35,12.51,4182
5,2013,8.21,4.03,8.66,31.35,16.74,880
6,2022,6.11,3.12,6.97,44.98,1.23,2977
1,2024,6.42,1.35,9.99,2.73,19.44,1172
3,2014,6.29,1.42,9.67,28.31,1.93,159
4,2013,6.45,0.62,7.59,45.99,10.23,2493
2,2023,8.43,4.61,6.25,14.36,11.2,2129
3,2021,7.38,0.86,4.07,7.74,2.76,3078
3,2002,7.17,2.86,6.61,17.53,18.31,2229
6,2023,8.46,2.92,4.1,39.61,9.43,2917
7,2022,7.39,1.85,5.79,4.24,2.86,3013
4,2018,7.65,1.76,9.6,30.02,14.23,1549
8,2024,6.83,3.34,5.39,6.78,13.27,4573
3,2011,6.96,1.94,4.07,21.78,19.26,3385
7,2001,7.49,1.28,7.08,48.3,8.83,1579
8,2002,6.17,2,7.22,9.76,5.36,3371
4,2017,6.64,4.04,4.36,1.7,1.2,1960
9,2000,6.49,4.83,4.38,21.36,14.66,3844
5,2019,6.04,3.18,9.93,28.88,12.35,4697
7,2020,7.34,3.91,4.7,14.88,19.45,2390
10,2005,7.4,2.66,8.87,27.09,14.24,1419
9,2004,6.96,3.12,6.29,47.67,18.66,3917
5,2000,6.67,4.94,6.04,15.59,19.83,3835
6,2018,7.63,2.19,5.06,15.47,8.57,4428
1,2000,6.34,0.33,8.42,24.14,3.01,4450
2,2020,7.3,4.79,9.16,25.77,3.92,3630
10,2020,7.92,3.97,4.83,0.07,6.37,4942
6,2015,6.41,1.99,3.67,30.79,10.18,162
4,2011,7.88,4.91,3.96,49.87,2.45,115
6,2021,7.9,1.73,8.55,14.6,6.03,1470
1,2007,6.15,1.86,6.05,31.54,6.16,3079
4,2015,6.05,3.05,3.92,0.23,0.08,3852
10,2000,8.43,1.37,5.38,30.22,7.08,2838
1,2003,6.48,3.49,6.6,22.35,2.32,542
8,2009,8.06,0.76,8.96,26.51,8.59,413
2,2010,7.4,0.54,7.49,27.2,3.93,681
10,2016,6.66,2.67,4.23,8.85,16.44,641
8,2024,6.32,2.78,4.11,38.5,1.61,3978
5,2022,7.24,0.53,5.89,27.77,17.31,1432
10,2006,7.02,4.82,3.53,13.51,11.61,668
5,2011,7.75,2.87,8.29,46.87,9.17,2069
4,2020,8.26,0.76,5.81,0.64,10.99,968
8,2006,8.01,1.56,5.4,36.3,7.52,1180
2,2011,6.69,4,6.56,19.06,2.55,4819
1,2014,8.2,2.62,7.96,26.13,15.32,3235
3,2001,8.08,0.94,6.99,14.58,18.56,251
6,2013,8.32,0.51,8.62,16.06,19,4300
9,2012,7.15,2.15,7.41,0.76,13.41,2879
2,2003,7.92,1.69,8.52,36.49,8.21,3998
8,2013,7.48,3.28,7.88,35.54,9.57,790
3,2013,6.78,4.63,4.35,32.72,13.14,4560
2,2015,8.49,1.24,3.37,43.9,16.46,1495
8,2006,6.1,4.28,9.32,45.06,7.49,4489
7,2018,6.41,4.6,9.62,27.82,18.34,3068
7,2001,8.23,4.51,8.09,34.24,6.49,2707
5,2009,6.15,4.76,8.07,0.55,10.62,2577
2,2017,8.22,4.21,4.89,42.32,19.23,1235
7,2016,7.79,2.97,6.8,40.82,18.76,1058
8,2004,6.09,2.05,9.95,1.01,13.91,1170
5,2011,7.07,2.46,8.99,27.14,6.49,3618
8,2005,7.89,4.36,5.13,45.33,4.38,3659
5,2021,7.46,1.51,5.11,9.07,1.6,3655
2,2008,8.34,0.8,6.39,17.63,14.17,56
3,2019,8.17,0.7,5.83,16.55,10.07,1892
1,2000,6.83,4.13,5.6,17.8,11.45,2569
10,2021,6.21,3.81,7.39,2.09,9.45,4080
