"country_name","avg_nitrate","avg_lead","avg_diarrheal_cases","avg_cholera_cases"
"Brazil","25.10","9.76","266.98","21.93"
"Mexico","25.52","9.92","261.54","23.53"
"India","25.57","10.59","253.79","25.12"
"Pakistan","24.12","10.31","253.10","24.37"
"Ethiopia","24.66","10.48","250.72","24.45"
"Indonesia","24.55","10.09","249.88","24.17"
"Bangladesh","26.28","10.33","245.55","24.05"
"Nigeria","25.80","9.71","244.67","24.30"
"China","24.87","10.40","244.54","25.23"
"USA","25.58","9.52","239.23","24.97"
