"country_name","year","avg_gdp_per_capita","access_to_clean_water_percent"
"Bangladesh",2000,"46031.00","65.95"
"Bangladesh",2001,"41643.69","67.11"
"Bangladesh",2002,"56451.13","58.47"
"Bangladesh",2003,"62816.78","72.53"
"Bangladesh",2004,"41679.70","55.92"
"Bangladesh",2005,"50363.82","70.58"
"Bangladesh",2006,"49354.79","70.40"
"Bangladesh",2007,"41599.11","61.18"
"Bangladesh",2008,"50125.00","73.93"
"Bangladesh",2009,"43645.54","58.89"
"Bangladesh",2010,"42309.82","59.19"
"Bangladesh",2011,"49273.95","68.23"
"Bangladesh",2012,"50476.71","58.64"
"Bangladesh",2013,"51367.00","58.35"
"Bangladesh",2014,"58915.83","85.78"
"Bangladesh",2015,"48140.33","63.05"
"Bangladesh",2016,"41698.15","56.97"
"Bangladesh",2017,"55284.47","68.37"
"Bangladesh",2018,"58764.00","66.52"
"Bangladesh",2019,"44723.50","55.96"
"Bangladesh",2020,"34574.00","58.51"
"Bangladesh",2021,"55180.92","63.93"
"Bangladesh",2022,"45110.18","61.17"
"Bangladesh",2023,"57032.53","59.45"
"Bangladesh",2024,"51999.43","85.88"
"Brazil",2000,"56694.70","65.97"
"Brazil",2001,"52531.38","56.84"
"Brazil",2002,"44243.50","64.64"
"Brazil",2003,"54523.88","60.88"
"Brazil",2004,"47531.67","57.85"
"Brazil",2005,"51721.11","58.35"
"Brazil",2006,"52701.25","62.21"
"Brazil",2007,"37515.50","69.60"
"Brazil",2008,"30430.64","61.16"
"Brazil",2009,"61548.00","70.22"
"Brazil",2010,"57286.50","67.98"
"Brazil",2011,"49909.94","58.00"
"Brazil",2012,"50559.63","71.80"
"Brazil",2013,"45268.82","67.36"
"Brazil",2014,"65882.70","67.55"
"Brazil",2015,"53185.43","63.63"
"Brazil",2016,"46239.68","65.63"
"Brazil",2017,"31880.07","64.22"
"Brazil",2018,"60211.00","60.92"
"Brazil",2019,"53110.43","72.74"
"Brazil",2020,"34989.86","61.14"
"Brazil",2021,"57770.43","60.86"
"Brazil",2022,"57229.80","66.02"
"Brazil",2023,"50637.00","62.19"
"Brazil",2024,"53557.08","64.78"
"China",2000,"49104.71","64.94"
"China",2001,"41937.00","60.28"
"China",2002,"62088.64","71.52"
"China",2003,"41682.92","70.12"
"China",2004,"51670.45","70.58"
"China",2005,"45729.93","68.58"
"China",2006,"48923.33","62.65"
"China",2007,"49322.29","66.93"
"China",2008,"42300.12","66.75"
"China",2009,"45931.69","60.54"
"China",2010,"51564.70","69.71"
"China",2011,"57156.50","59.39"
"China",2012,"51892.00","71.71"
