"country_name","year","avg_turbidity","avg_ph","avg_dissolved_oxygen","avg_sanitation_coverage","avg_healthcare_access","risk_score"
"Bangladesh",2000,"3.26","6.99","5.26","72.07","37.03","17.10"
"Bangladesh",2001,"2.80","7.43","6.89","67.92","51.96","14.35"
"Bangladesh",2002,"2.39","6.85","6.03","71.31","56.38","13.74"
"Bangladesh",2003,"2.44","7.35","6.18","69.00","56.42","14.07"
"Bangladesh",2004,"2.72","7.56","7.01","61.67","48.42","15.27"
"Bangladesh",2005,"3.02","7.20","6.59","68.07","46.70","15.16"
"Bangladesh",2006,"2.49","7.45","6.58","69.81","49.94","14.38"
"Bangladesh",2007,"2.09","7.49","6.53","54.43","44.61","16.15"
"Bangladesh",2008,"2.95","7.45","6.51","52.29","49.87","16.68"
"Bangladesh",2009,"1.92","7.09","6.33","53.99","38.23","16.45"
"Bangladesh",2010,"1.89","7.07","6.83","72.77","38.96","13.95"
"Bangladesh",2011,"1.97","7.16","6.41","61.70","54.33","14.11"
"Bangladesh",2012,"2.23","7.66","7.01","58.29","46.08","15.44"
"Bangladesh",2013,"2.74","7.33","6.58","67.55","52.54","14.48"
"Bangladesh",2014,"3.25","6.99","6.53","60.72","45.19","16.14"
"Bangladesh",2015,"2.73","7.24","7.10","53.79","92.13","11.28"
"Bangladesh",2016,"2.71","7.72","6.60","55.75","50.09","16.25"
"Bangladesh",2017,"2.68","6.71","6.25","53.64","47.25","16.63"
"Bangladesh",2018,"2.73","7.54","6.87","63.10","49.14","15.17"
"Bangladesh",2019,"2.81","7.22","6.59","44.44","39.02","18.10"
"Bangladesh",2020,"2.67","7.00","7.35","53.85","55.87","14.36"
"Bangladesh",2021,"1.95","7.54","6.09","58.07","52.64","15.33"
"Bangladesh",2022,"2.74","7.05","6.76","64.00","49.35","14.70"
"Bangladesh",2023,"2.67","7.56","6.17","64.70","46.70","15.91"
"Bangladesh",2024,"2.42","7.32","5.52","66.89","50.68","15.46"
"Brazil",2000,"1.92","7.20","6.91","57.41","50.95","14.37"
"Brazil",2001,"1.55","7.07","5.98","59.85","36.49","16.00"
"Brazil",2002,"2.72","6.68","7.11","62.10","52.61","14.46"
"Brazil",2003,"2.61","7.70","6.54","65.58","45.91","15.62"
"Brazil",2004,"2.46","7.20","6.41","62.22","59.76","14.06"
"Brazil",2005,"2.41","6.91","6.49","68.78","45.86","14.54"
"Brazil",2006,"2.33","7.43","6.46","61.39","59.20","14.24"
"Brazil",2007,"1.90","6.94","7.35","74.45","47.33","12.44"
"Brazil",2008,"1.51","7.21","6.68","63.96","53.92","13.25"
"Brazil",2009,"2.41","7.27","6.36","69.02","48.94","14.52"
"Brazil",2010,"2.00","7.32","6.70","53.85","63.83","13.86"
"Brazil",2011,"2.63","6.81","5.99","65.50","55.54","14.72"
"Brazil",2012,"2.83","7.52","6.26","56.40","60.01","15.45"
"Brazil",2013,"2.74","6.89","6.07","47.52","50.56","16.97"
"Brazil",2014,"2.70","7.12","6.94","51.63","56.52","15.05"
