"country_name","year","water_source_type","water_treatment","avg_bacterial_count","avg_clean_water_access","sample_count","effectiveness_score","trend_flag"
"Bangladesh",2000,"Lake","Boiling","2876.67","79.49","30","150.72","N/A"
"Bangladesh",2003,"Lake","Boiling","3258.56","87.04","45","154.45","Improving"
"Bangladesh",2005,"Lake","Boiling","2867.53","61.19","85","132.51","Worsening"
"Bangladesh",2007,"Lake","Boiling","2502.22","42.21","45","117.19","Worsening"
"Bangladesh",2008,"Lake","Boiling","2151.11","77.77","45","156.26","Improving"
"Bangladesh",2009,"Lake","Boiling","2546.46","63.26","130","137.80","Worsening"
"Bangladesh",2012,"Lake","Boiling","2946.93","73.44","70","143.97","Improving"
"Bangladesh",2016,"Lake","Boiling","2265.92","98.52","65","175.86","Improving"
"Bangladesh",2017,"Lake","Boiling","2415.13","93.45","75","169.30","Worsening"
"Bangladesh",2021,"Lake","Boiling","2101.62","66.24","65","145.22","Worsening"
"Bangladesh",2022,"Lake","Boiling","2174.59","57.77","85","136.02","Worsening"
"Bangladesh",2023,"Lake","Boiling","2443.00","38.40","85","113.97","Worsening"
"Bangladesh",2001,"Lake","Chlorination","2094.50","98.47","80","177.53","N/A"
"Bangladesh",2006,"Lake","Chlorination","2394.86","79.94","140","155.99","Worsening"
"Bangladesh",2008,"Lake","Chlorination","2151.11","37.75","45","116.24","Worsening"
"Bangladesh",2009,"Lake","Chlorination","2546.46","70.47","65","145.01","Improving"
"Bangladesh",2010,"Lake","Chlorination","2237.45","89.00","55","166.63","Improving"
"Bangladesh",2011,"Lake","Chlorination","2421.45","81.42","300","157.21","Worsening"
"Bangladesh",2013,"Lake","Chlorination","1966.00","31.03","60","111.37","Worsening"
"Bangladesh",2017,"Lake","Chlorination","2415.13","98.99","75","174.84","Improving"
"Bangladesh",2018,"Lake","Chlorination","2311.45","38.16","110","115.05","Worsening"
"Bangladesh",2020,"Lake","Chlorination","2864.91","33.31","55","104.66","Worsening"
"Bangladesh",2021,"Lake","Chlorination","2101.62","88.32","130","167.30","Improving"
"Bangladesh",2022,"Lake","Chlorination","2174.59","53.10","85","131.35","Worsening"
"Bangladesh",2004,"Lake","Filtration","2837.60","59.66","50","131.28","N/A"
"Bangladesh",2008,"Lake","Filtration","2151.11","85.81","45","164.30","Improving"
"Bangladesh",2012,"Lake","Filtration","2946.93","82.67","70","153.20","Worsening"
"Bangladesh",2017,"Lake","Filtration","2415.13","79.11","150","154.96","Improving"
"Bangladesh",2018,"Lake","Filtration","2311.45","95.77","55","172.66","Improving"
"Bangladesh",2019,"Lake","Filtration","2765.90","36.86","100","109.20","Worsening"
"Bangladesh",2023,"Lake","Filtration","2443.00","65.66","85","141.23","Improving"
"Bangladesh",2024,"Lake","Filtration","3191.43","93.46","70","161.55","Improving"
"Bangladesh",2003,"Pond","Boiling","3258.56","69.14","45","136.55","N/A"
"Bangladesh",2004,"Pond","Boiling","2837.60","46.14","50","117.76","Worsening"
"Bangladesh",2005,"Pond","Boiling","2867.53","93.92","85","165.24","Improving"
"Bangladesh",2007,"Pond","Boiling","2502.22","89.12","45","164.10","Worsening"
